GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Assinador,br.gov.saude.assinador.servico,AssinadorException.Codigo,0,33,0,0,0,6,0,1,0,1
Assinador,br.gov.saude.assinador.servico,AssinadorException,0,18,0,0,0,7,0,3,0,3
Assinador,br.gov.saude.assinador.servico,PKCS11SignatureService,8,42,1,5,2,10,3,5,2,3
Assinador,br.gov.saude.assinador.servico,FakeSignatureService,0,70,0,4,0,21,0,8,0,6
Assinador,br.gov.saude.assinador.validacao,ValidadorFHIR,40,258,15,29,6,62,15,19,0,12
Assinador,br.gov.saude.assinador.validacao,AlgoritmoSuportado,0,15,1,3,0,2,1,3,0,2
Assinador,br.gov.saude.assinador.cli,AcaoValidar,0,109,0,2,0,24,0,4,0,3
Assinador,br.gov.saude.assinador.cli,AcaoAssinar,2,173,6,14,0,28,6,9,0,5
Assinador,br.gov.saude.assinador.cli,AssinadorCli.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
Assinador,br.gov.saude.assinador.cli,AssinadorCli,10,237,2,27,1,54,2,20,0,7
Assinador,br.gov.saude.assinador,App,3,10,0,0,1,4,1,2,1,2
Assinador,br.gov.saude.assinador.erro,MapeadorErro,0,34,0,12,0,12,0,10,0,2
Assinador,br.gov.saude.assinador.erro,RespostaErro,2,41,1,5,0,5,1,5,0,3
